num_genes,precision,recall,f1,time
10,0.2,0.01904761904761905,0.03478260869565218,0.002
26,0.07692307692307693,0.01904761904761905,0.03053435114503817,0.002
52,0.057692307692307696,0.02857142857142857,0.03821656050955414,0.002
105,0.0380952380952381,0.0380952380952381,0.0380952380952381,0.002
50,0.06,0.02857142857142857,0.03870967741935484,0.002
10,0.2,0.01904761904761905,0.03478260869565218,0.002
26,0.07692307692307693,0.01904761904761905,0.03053435114503817,0.002
52,0.038461538461538464,0.01904761904761905,0.025477707006369428,0.002
105,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.002
50,0.04,0.01904761904761905,0.02580645161290323,0.002
10,0.0,0.0,0.0,0.002
26,0.0,0.0,0.0,0.002
52,0.019230769230769232,0.009523809523809525,0.012738853503184714,0.002
105,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.002
50,0.02,0.009523809523809525,0.012903225806451615,0.002
10,0.1,0.009523809523809525,0.01739130434782609,0.002
26,0.038461538461538464,0.009523809523809525,0.015267175572519085,0.002
52,0.019230769230769232,0.009523809523809525,0.012738853503184714,0.002
105,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.002
50,0.02,0.009523809523809525,0.012903225806451615,0.002
10,0.4,0.0380952380952381,0.06956521739130436,0.002
26,0.19230769230769232,0.047619047619047616,0.07633587786259542,0.002
52,0.09615384615384616,0.047619047619047616,0.06369426751592358,0.002
105,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.002
50,0.1,0.047619047619047616,0.06451612903225806,0.002
10,0.2,0.01904761904761905,0.03478260869565218,0.005
26,0.15384615384615385,0.0380952380952381,0.06106870229007634,0.005
52,0.07692307692307693,0.0380952380952381,0.050955414012738856,0.005
105,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.005
50,0.08,0.0380952380952381,0.05161290322580646,0.005
10,0.2,0.01904761904761905,0.03478260869565218,0.005
26,0.07692307692307693,0.01904761904761905,0.03053435114503817,0.005
52,0.038461538461538464,0.01904761904761905,0.025477707006369428,0.005
105,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.005
50,0.04,0.01904761904761905,0.02580645161290323,0.005
10,0.0,0.0,0.0,0.005
26,0.038461538461538464,0.009523809523809525,0.015267175572519085,0.005
52,0.1346153846153846,0.06666666666666667,0.08917197452229299,0.005
105,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.005
50,0.12,0.05714285714285714,0.07741935483870968,0.005
10,0.1,0.009523809523809525,0.01739130434782609,0.005
26,0.07692307692307693,0.01904761904761905,0.03053435114503817,0.005
52,0.038461538461538464,0.01904761904761905,0.025477707006369428,0.005
105,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.005
50,0.04,0.01904761904761905,0.02580645161290323,0.005
10,0.3,0.02857142857142857,0.05217391304347825,0.005
26,0.15384615384615385,0.0380952380952381,0.06106870229007634,0.005
52,0.09615384615384616,0.047619047619047616,0.06369426751592358,0.005
105,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.005
50,0.1,0.047619047619047616,0.06451612903225806,0.005
10,0.3,0.02857142857142857,0.05217391304347825,0.01
26,0.15384615384615385,0.0380952380952381,0.06106870229007634,0.01
52,0.07692307692307693,0.0380952380952381,0.050955414012738856,0.01
105,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.01
50,0.08,0.0380952380952381,0.05161290322580646,0.01
10,0.2,0.01904761904761905,0.03478260869565218,0.01
26,0.07692307692307693,0.01904761904761905,0.03053435114503817,0.01
52,0.038461538461538464,0.01904761904761905,0.025477707006369428,0.01
105,0.0380952380952381,0.0380952380952381,0.0380952380952381,0.01
50,0.04,0.01904761904761905,0.02580645161290323,0.01
10,0.0,0.0,0.0,0.01
26,0.23076923076923078,0.05714285714285714,0.09160305343511449,0.01
52,0.1346153846153846,0.06666666666666667,0.08917197452229299,0.01
105,0.0761904761904762,0.0761904761904762,0.0761904761904762,0.01
50,0.14,0.06666666666666667,0.0903225806451613,0.01
10,0.2,0.01904761904761905,0.03478260869565218,0.01
26,0.11538461538461539,0.02857142857142857,0.045801526717557245,0.01
52,0.057692307692307696,0.02857142857142857,0.03821656050955414,0.01
105,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.01
50,0.06,0.02857142857142857,0.03870967741935484,0.01
10,0.3,0.02857142857142857,0.05217391304347825,0.01
26,0.11538461538461539,0.02857142857142857,0.045801526717557245,0.01
52,0.09615384615384616,0.047619047619047616,0.06369426751592358,0.01
105,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.01
50,0.1,0.047619047619047616,0.06451612903225806,0.01
